Class 1,Sub class 2,Sub class 3,Synonym,Definition
Technical,Kite surfing,,,"Kite or traction kite sports, combine a gliding device (a board) or a rolling device (such as a skateboard) with a traction wing. The mix of gliding, speed, and aerial movements allows for a wide variety of expressive styles: freestyle (jumps and aerial tricks), long distance, and pure speed.
The wing, which first appeared on sand in the 2000s (kitewing), has seen rapid growth since 2018. Kite and wing can be practiced on different natural surfaces: On water: kitesurfing and wingfoiling, On snow: snowkiting (with skis or snowboard) or wingskiing, On land or sand: with a buggy (tricycle), a mountainboard, or a specific wing board."
Weight class,,,,Sports where athletes are divided by weight category with specific weight rules to face an opponent with a similar physique to theirs.
Weight class,Boxing,,,"A combat sport in which two athletes, wearing protective gloves, punch each other in a boxing ring. Boxing is supervised by a referee over a series of one- to three-minute intervals called rounds. The result is decided when an opponent is deemed unable to continue by a referee, is disqualified for breaking a rule, gives up by throwing a towel, or is declared the winner or loser according to the judges' scorecards at the end of the contest."
Weight class,Martial arts,Jiu-jitsu,,"Ancestral Japanese martial art, grouping together combat techniques developed by the samurai to defend themselves when they were unarmed. These techniques are sometimes classified into five main categories: atemi-waza: striking techniques; nage-waza: throwing techniques; ne-waza: ground techniques; kansetsu-waza: arthralgic techniques (injuring joints); shime-waza: strangulation techniques; Kuatsu: ‘return to life’ or ‘resuscitation’ technique; Kyusho: technique of the vital points of the human body."
Weight class,Martial arts,Brazilian jiu-jitsu,,"Brazilian Jiu-Jitsu is a grappling martial art focused on ground fighting and submission techniques. It allows a smaller or weaker practitioner to control and defeat a larger opponent through technique, leverage, and positional strategy."
Weight class,Martial arts,Judo,,"A martial art that is also a Japanese way of life, consisting of throwing techniques, ground control, chokes and joint locks."
Weight class,Kickboxing,,,"A combat discipline that can be considered a martial art. It belongs to the fist and foot boxing (FBO) group, meaning that the fighter essentially uses leg techniques."
Weight class,Martial arts,Karate,,"Japanese martial art, although its origins are Okinawan. Karate is a martial art whose techniques aim to defend oneself and then respond with an attack targeting different parts of the body: fingers, open and closed hands, forearms, feet, elbows and knees. The fighter responds by defending or anticipating, known as Sendosei, which allows the attack to be made before the opponent's attack is made, followed by an attack in response to the opponent."
Weight class,MMA,,,"A combat sport that incorporates percussion techniques (professional foot, fist, knee and elbow), both standing and on the ground (ground and pound). There are also throwing and sweeping techniques, as well as submissions (joint locks, blood chokes)."
Weight class,Martial arts,,,"A group of combat sports of Japanese (or more generally Asian) origin, such as judo, karate, aikido, kendo, taekwondo, viet vo dao, etc., based on a moral code (which was notably that of the samurai) and which combatants must respect."
Weight class,Martial arts,Taekwondo,,"A martial art of South Korean origin that differs from other arts in that it is highly specialised in kicking techniques. To avoid serious injury, martial artists wear a wide range of protective gear when fighting. It is the only Olympic combat sport that allows kicking."
Weight class,Martial arts,Thai boxing,,"A combat sport similar to American boxing, which allows elbow and knee strikes and is practised barefoot with gloves. Almost all blows are permitted; only blows to the head are prohibited. Among the techniques most commonly used are kicks to the neck, face and head, knee hooks to the ribs and kicks to the calves. In most matches, knee and elbow strikes win the decision. Boxers are divided into 16 weight categories. They compete in a 7.30 m2 ring surrounded by ropes held up by padded poles. A match follows a meticulous ritual. The match is preceded by the ram muay (the boxing dance), which is a tribute to the fighter's guru (khruu) and the guardian spirit of Thai boxing."
Weight class,Wrestling,,,"Combat sport practised with bare hands in which opponents compete hand-to-hand. There are many varieties, but the three main ones are freestyle wrestling (LL), Greco-Roman wrestling (GR) and women's wrestling (LF). The aim is to win the match either by knocking your opponent to the ground, keeping both shoulders pressed against the mat, known as a ‘fall’, or by winning on points."
Weight class,Martial arts,Wushu,,"Wushu is a modern, codified Chinese martial art that includes two main forms:
Taolu: technical routines performed solo
Sanda: free combat with strikes (kicks and punches)"
