CLASS;sub-class 1;sub-class 2;sub-class 3;sub-class 4;sub-class 5;Synonym;Modification proposée;NB DE RELATIONS POSITIVE (Facteurs de risque);NB DE RELATIONS NEGATIVES (Facteurs protecteurs);NB DE RELATIONS NS;Relations Flous;DOI Distincts;Définition;Outils;Autres outils utilisés pour ces variables
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Romantic pressure;;;;;;;;;;Refers to romantic social pressures like my romantic partner expects me to be thin (Gaines et al., 2014);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;;;;;;;;;;;Perception of social and sport pressure from others refers to the awareness and experience of explicit or implicit expectations and pressures from social and sport-related sources, including friends, family, teammates, coaches, and social media. These pressures concern body shape, weight, appearance, eating behaviors, performance, and gender-related norms. (Petrie & Greenleaf, 2007, 2012).;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;Appearance pressure from teammates;;;;;;;;;;Refers to perceived or explicit expectations, comments, or norms within a peer group that emphasize physical appearance or body shape, leading individuals to feel pressure to conform to specific body ideals.s (Runquist et al., 2025);;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived appearance based pressures from family;;;;;;;;;;Reflects perceived sociocultural pressures from family regarding one's appearance (Schaefer et al., 2016);;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived coach pressure;;;;;;;;;;"""Designed to represent athletes’ tendencies to perceive their coaches as sources of performance pressure"" (Pineda-Espejel et al., 2017)";;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived parental pressure;;;;;;;;;;"""Defined as the tendency to perceive that the parents placed high goals and are too critical or exert much pressure to achieve these goals"" (Pineda-Espejel et al., 2017)";;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived pressures from family;;;Pressure from family;;;;;;;Defined as the perceived pressure from family members to improve or modify one’s physical appearance (Jankauskiene et al., 2024).;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived pressures from media;;;;;;;;;;Defined as the perceived pressure from media to improve or modify one’s physical appearance (Jankauskiene et al., 2024).;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived pressures from peer;;;;;;;;;;Reflect perceived sociocultural pressures from peer regarding one's appearance (Schaefer et al., 2016);;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived weight related coach pressure;;;;;;;;;;Refers to athletes’ perception of explicit or implicit pressure from their coach regarding body weight, shape, or appearance. This includes remarks about weight, judgments based on appearance, urging athletes to diet, or attributing failures to weight (Gomes et al., 2011);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;Social pressure on body shape;;;;;;;;;;"Refers to perceived external influences from peers, family, coaches, and broader social environments that lead individuals to feel dissatisfaction with their body, including feeling “too fat,” and to experience pressure to conform to specific body ideals (Hinton et al., 2005; Wadas, 2014)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;Social pressure on eating;;;;;;;;;;"Refers to feelings about eating (social pressure on eating). Refers to the sensation of feel uncomfortable eating in front of peers (friends, coach, mom, dad, teammates) (Hinton et al., 2005 ; Wadas, 2014)";;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Appearance comparison;;;Teammate body comparison;;;;;;;"""Refers to tendencies to engage in eating and exercise-related social comparison"", like body comparison with teammate (Runquist et al., 2025)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;;;;;;;;;;;"“Pressure to be thin refers to sociocultural messages embracing the “thin ideal,” a culturally-defined concept of physical beauty characterized by an ultra-thin or lean body shape"" (Stice, 2005)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure for thinness coaches;;;;;;;;;;Refers to coach pressure to be thinner (Kosmidou et al., 2018);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure to be thin;;;;;;;;;;Pressure exerted by ideals standards of beauty represents how much individuals feel pressured to achieve these cultural ideas of beauty (Da Cunha et al., 2022);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure to be thin by friends;;;;;;;;;;Refers to friends pressure to be thinner (Kosmidou et al., 2018);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure to be thin by parents;;;;;;;;;;Refers to parents pressure to be thinner (Kosmidou et al., 2018);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressures for thinness teammates;;;;;;;;;;Refers to perception of pressure from teammate to lose weight or maintain a low body weight (Palermo et al., 2022);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Social influence for thinness;;;;;;;;;;"""Refers to the athlete perception of pressure about body weight or size from coaches and teammates"" (Williamson et al., 1995)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Thinness related learning;;;;;;;;;;"""Degree of which the individual is exposed to learning about thinness in a dance class"" (Annus and Smith, 2009) => article Penniment (2012)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Thin-fat-others;;;;;;;;;;;"Refers to ""perception of others on shape/weight/fat"" (De Bruin et al., 2011)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Thin-fat-others;Daily life thin-fat other;;;;;;;;;;Refers to the perception of opinions of others on shape/weight/fat (thin/low to fat/high) in daily life (Stewart et al., 2021);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Thin-fat-others;Sport thin-fat-others;;;;;;;;;;"Refers to ""perception of opinions of others on shape/weight/fat (thin/low to fat/high)"" in sport (Stewart et al., 2021)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;;;;;;10;;;;3;"Assess the ""pressures female athletes experience in their sport
environment to diet, change their body size/shape, and/or achieve a certain physical appearance for their performances"" (Anderson et al., 2012)";Weight Pressures in Sport Females (WPS-F);
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Appearance and performance weight pressure;;;;;;;;;;Refers to external pressures such as coaches’ comments, on weight and pressure regarding appearance and performance (Kontele et al., 2022);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Coach related weight pressures in sport;;;;;;;;;;Defined as the influence of sport-specific factors that emphasize body weight or shape, including the revealing nature of uniforms, perceived performance advantages linked to certain body types, weight requirements and weigh-ins, and comments from coaches (Reel et al., 2013).;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Coach related weight pressures in sport;Coach's pressure in relation to nutrition;;;;;;;;;"Represented an ""index of the pressure placed on athletes
by taekwondo coaches in relation to nutrition and body weight"" (Baric et al., 2024)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;General weight pressure;;;;;;;;;;"Refers to ""pressure from a specific source to adhere to cultural standards of attractiveness"" (Pallotto et al., 2022)";;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Weight pressures;General weight pressure media;;;;;;;;;;Refers to pressure from media to adhere to cultural standards of attractiveness (Pallotto et al., 2022);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;General weight pressure parent;;;;;;;;;;"Refers to pressure from parents ""to adhere to cultural standards of attractiveness"" (Pallotto et al., 2022)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;General weight pressure peer;;;;;;;;;;"Refers to pressure from peers to ""adhere to cultural standards of attractiveness"" (Pallotto et al., 2022)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Pressures to lose weight/change shape from teammates;;;;;;;;;;Refers to the perception of pressure to lose weight or change shape from differents sources, like teammates (Scott et al., 2019);;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Sport related weight pressures;;;Sport specific weight pressure;;;;;;;"Refers to ""pressure by coaches/sport to lose weight"" (Anderson et al., 2012)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Weight pressure appearance;;;;;;;;;;"Refers to ""pressure by teammates, peers and spectators to have a thin appearance"" (Anderson et al., 2012)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Weight pressure coach/teammate;;;;;;;;;;"""Assesses coach/ teammate pressures about weight (influence coaches and teammates have on body image and disordered eating), importance of body weight and appearance (value of attaining an ideal body), and uniform pressures (extent to which athletic apparel draws undesired attention to the body)"" (Chatterton et al., 2017)";;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Weight pressure in dance;;;;;;;;;;Refers to the pressure in the dance environment about body weight, shape, and size (Estanol et al., 2013);;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Weight pressures;Weight pressure uniform;;;;;;;;;;"Refers to pressures on uniform, ""extent to which athletic apparel draws undesired attention to the body"" (Chatterton et al., 2017)";;
Intrapersonal factor related to DEAB;;;;;;;;;;;;;Personal characteristics that influence eating behavior. These refer to knowledge, attitudes, beliefs, and skills (Story, 2002);;
Intrapersonal factor related to DEAB;Body image and self-esteem;;;;;;;;;;;;Refers to the set of perceptions, beliefs, emotions, and behaviors related to the body which, in interaction with other areas of the self, contribute to the formation and maintenance of overall self-esteem (Cash, 2012);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;;;;;;;;;;;Depicts the positive or negative feelings that individuals develop towards their bodily appearance and toward themselves more generally (Cash and Green, 1986);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Attractive body;;;;;;;;;;Defined as the subjective evaluation of one’s physical appearance as aesthetically pleasing, reflecting the affective dimension of body image and self-esteem, and encompassing feelings of satisfaction or dissatisfaction with one’s body (Cash, 2004).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Attractive body;Perceived physical appearance;;;;;;;;;"""Refers to the perception to be able to maintain an attractive body over time"" (Ouellet et al., 2022)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Attractive body;Physical attractiveness;;;;;;;;;"""Physical appearance and remaining attractive over time"" (Monthuy-Blanc et al., 2012)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Attractive body;Sexual attractiveness;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;;;;;;;;;;"Refers to self-evaluation of someone’s appearance, a concept of self-appraisal of one’s own body. Body esteem consists feelings about one’s weight, feelings about one’s general appearance and opinions attributed to others concerning one’s appearance (Mendelson & White, 1985 ; Mendelson, Mendelson, & White, 2001)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Body appreciation;;;;;;;;;"Defined as a core component of positive body image, reflecting a favorable and accepting attitude toward one’s body, including respect for its needs and functions, engagement in health-promoting behaviors, and the ability to reject unrealistic societal appearance ideals (Définition Avalos et al., 2005; Adam et al., 2021).";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Body esteem appearance;;;;;;;;;"""Refers to general feelings about physical appearance"" (Valls et al., 2011)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Body esteem attribution;;;;;;;;;"""Refers to beliefs about how their physical appearance is perceived by others"" (Valls et al., 2011)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Body esteem weight satisfaction;;;;;;;;;"""Evaluates satisfaction or dissatisfaction with weight"" (Valls et al., 2011)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Weight influences esteem;;;;;;;;;Reflects the extent to which an individual’s self-worth or global self-esteem depends on their body weight or perceptions of weight (Petrie et al., 2009);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Upper body strength;;;;;;;;;Reflects the extent to which an individual’s self-worth or global self-esteem depends on their upper body weight or perceptions of weight (Petrie et al., 2009);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Physical fitness;;;;;;;;;focuses on assessing the endurance and agility of the body (Lipowska and Lipowski, 2013).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Attitude toward unhealthy practice;;;;;;;;;;Defined as an individual’s evaluative disposition toward engaging in harmful weight-control or body modification behaviors, reflecting the attitudinal dimension of body image and self-esteem (Cash, 2004).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Attitude toward unhealthy practice;Attitude towards unhealthy weight loss behavior;;;;;;;;;Refers to the degree to which individuals endorse or accept unhealthy practices to lose or maintain weight (e.g., meal skipping, very low-calorie diets, use of laxatives or diet pills) (Pajaujiene et al., 2012);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Attitude toward unhealthy practice;Attitude towards unhealthy exercising behavior;;;;;;;;;Refers to the degree to which individuals endorse or accept erroneous or harmful exercise-related practices aimed at controlling body weight (Pajaujiene et al., 2012);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body and muscularity attitude;;;;;;;;;;Defined as an individual’s evaluative beliefs and attitudes toward their body shape and level of muscularity, reflecting the attitudinal dimension of body image and self-esteem (Cash, 2004).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body and muscularity attitude;Muscularity-oriented attitudes;;;;;;;;;Refers to attitude toward the desire to remodel the current body shape and gain muscle mass (Chaba et al., 2018);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body and muscularity attitude;Muscularity-oriented body image;;;;;;;;;"""Preoccupation with becoming more muscular"" (Chatterton et al., 2017)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body and muscularity attitude;Body attitude;;;;;;;;;"""Body attitudes has three facets: evaluation, i.e., evaluative thoughts and beliefs about one's appearance, affect, or the discrete emotional body experiences, and investment, which means the importance of appearance and the behaviors aimed to maintain or enhance it"" (Muth & Cash, 1997)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;;;;;;;;;;Body appreciation has been defined as “accepting, holding favourable attitudes toward, and respecting the body, while also rejecting media-promoted appearance ideals as the only form of beauty” (Tylka & Wood-Barcalow, 2015a, p. 53);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Muscle appearance;;;;;;;;;Refers to the global score of the muscle appearance satisfaction scale and assess symptoms related to cognitive, behavioral and affective dimensions of muscle dysmorphia (Babusa et al., 2012);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Muscle satisfaction;;;;;;;;;"Refers to ""satisfaction with one's own muscle size and definition"" (Mayville et al., 2002)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Satisfied with overall appearance;;;;;;;;;Refers to overall satisfaction with appearance (Petrie et al., 2009);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Satisfied with overall body;;Positive perception of the body;;;;;;;Refers to overall satisfaction with body (Petrie et al., 2009);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Satisfaction with body shape and physical appearance;;;;;;;;;Defined as the degree to which individuals feel content with their body weight and overall physical appearance, typically assessed through self-reported measures (Silva et al., 2011);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body factor;;;;;;;;;"Defined as a dimension of body satisfaction reflecting individuals’ evaluation of their body size and shape, assessed through satisfaction with specific body parts commonly associated with body dissatisfaction (e.g., hips, thighs, buttocks) (Petrie et al., 2002; Anderson et al., 2012).";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body parts satisfaction body;;;;;;;;;Defined as a measure of men’s satisfaction with specific body parts, including the upper body (e.g., chest, arms) as well as overall body size and shape (Chatterton et al., 2017);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body parts satisfaction face;;;;;;;;;"Defined as the degree to which individuals feel satisfied with their facial features, reflecting a specific dimension of body image assessed through self-reported evaluation of facial appearance (Petrie et al., 2002; Petrie et al., 2009)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body satisfaction;;Body areas satisfaction;;;;;;;"""Refers to the degree of satisfaction with different aspects of one's oappearance (i.e., face, hair, lower torso, mid torso, upper torso, muscle tone, weight and height"" (Brown, Cash & Mikulka, 1990 ; Cash, 2000)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body satisfaction for legs;;;;;;;;;Refers to a measure of men’s satisfaction with specific body parts, including legs (Chatterton et al., 2017);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;;;;;;;;;;"""Body (image) dissatisfaction can be defined as the negative attitude towards one’s own body resulting from a perceived discrepancy between the actual body image (i.e., perceptions, thoughts, and feelings concerning one’s actual physical appearance; e.g., Cash, 1990) and the ideal body image (i.e., internalized ideals about one’s physical appearance; e.g., Cooper & Taylor, 1988; Strauman, Vookles, Berenstein, Chaiken, & Higgins, 1991; Williamson, Gleaves, Watkins, & Schlundt, 1993)"" (Heider et al., 2018)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body dissatisfaction;;Negative perception of the body;;;;;;;"""Assesses discontentment with the overall shape and with the size of those regions of the body of extraordinary concern to those with eating disorders (i.e., stomach, hips, thighs, buttocks). One item on BD scale measures the feeling of bloating after eating a normal meal, a common feature of those who are dissatisfied with their body weight"" (Garner, 2004)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Appearance intolerance;;;;;;;;;"""Consists of questions regarding negative beliefs about one’s body and resulting appearance anxiety or body exposure avoidance"" (Hildebrandt et al., 2004)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body image avoidance;;;;;;;;;"""Refers to efforts to avoid, suppress, modify, or otherwise escape from distressing negative thoughts, feelings, or sensations about the body"" (Timko et al., 2014)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body surveillance;;;;;;;;;"Defined as the behavioral manifestation of self-objectification, referring to the habitual monitoring of one’s body and the evaluation of one’s appearance against internalized cultural standards of attractiveness (Fitzsimmons & Bardone-Cone, 2011; Lindberg et al., 2006; Kilpela et al., 2017).";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body image duality;;;;;;;;;"Refers to the ""perception of alignment in body ideals between their sport and broader society"" (Fatt et al., 2024)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Physique protection;;;;;;;;;"""Extent to which an individual avoids having their body viewed by others (e.g., wearing baggy clothing)"" (Thomas et al., 2014)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Specific body image dissatisfaction;;;;;;;;;Refers to the discrepancy between the current body image and the ideal image for the practice of the activity (Francisco et al., 2012);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Sports related body dissatisfaction;;;;;;;;;Refers to the discrepency between their current figure and the figure they regarded as ideal for their sport (Krentz et al., 2011);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body dissatisfaction performance;;;;;;;;;Refers to the body parts dissatisfaction (hips, buttock) in relation to sport performance (Anderson et al., 2016);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body dissatisfaction appearance;;;;;;;;;Feelings of physical unattractiveness or dissatisfaction with one's look (Cash, 2000);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body fat dissatisfaction;;;;;;;;;"""Refers to a derogatory view of weight and body fat"" (Cooper, Taylor, Cooper, & Fairburn, 1987).";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;;;;;;;;;;"""Subjective negative evaluation of one's body image"" (Cash, 2012 ; Stice & Shaw, 2002)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body image dissatisfaction in sport;;;;;;;;;"Subjective negative evaluation of one's body image in the specific context of sport (Aleksic et al., 2020 ; Cash, 2012 ; Stice & Shaw, 2002)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body shame;;;;;;;;;"""It is the negative emotion that occurs when a person compares him- or her-self to some internalized cultural ideal and perceives a discrepancy between this ideal and their body"" (Hallsworth et al., 2005)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body shape;;;;;;;;;Defined as the specific proportions and areas on the body where weight tends to accumulate, which can vary based on factors such as leg-to-torso length and shoulder-to-hip width (Faust & Carrier, 2011);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body shape concerns and dissatisfaction;;;;;;;;;A construct reflecting the degree of preoccupation with, and negative evaluation of, one’s body shape (Kulshreshtha et al., 2020);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body dysmorphic concerns;;;;;;;;;"""Mental health condition characterised by excessive concern and preoccupation with perceived flaws or imperfections in one's physical appearance, which are often minor or not observable to others"" (Fekih-Romdhane et al., 2025)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body talk;;;;;;;;;;"Defined as self-disparaging communication in which individuals criticize their own body weight, shape, or physical fitness in interactions with others, reflecting a form of self-devaluation related to body image (Nichter & Vuckovic, 1994; Shannon & Mills, 2015).";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body talk;Fat talk;;;;;;;;;Refers specifically to remarks about perceived fatness (Ahlich et al., 2019);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body talk;Male body talk;;;;;;;;;"""Uses to assess the frequency with which men express concerns about their bodies to others"" (Ahlich et al., 2019)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body talk;Muscle talk;;;;;;;;;"""Assesses men's tendency to express concerns regarding degree of muscularity and being too small"" (Sladek et al., 2014)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Contextual expressions;;;;;;;;;;It is the context-dependent evaluation of body image aspects, reflecting how self-evaluations, comparisons with others, and perceived social evaluations vary between situations such as everyday life and sport. (De Bruin et al., 2011).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Contextual expressions;Appearance daily life;;;;;;;;;"""Evaluation of appearance (ugly to beautiful) in the context of daily life"" (Stewart et al., 2021)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Contextual expressions;Appearance sport;;;;;;;;;"""Evaluation of appearance (ugly to beautiful)"" in the context of sport (Stewart et al., 2021)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Contextual expressions;Muscularity daily life;;;;;;;;;"""Level of muscularity (unmuscular to muscular)"" (Stewart et al., 2021)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body change;;;;;;;;;;Refers to the individual’s desire, intention, or efforts to modify their body shape, weight, or physical appearance through behaviors such as dieting, exercise, or other body-related strategies (Ogul et al., 2026);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Evaluation sensitivity;;;;;;;;;;Refers to the degree to which an individual is affected by others’ judgments, opinions, or perceived evaluations of their physical appearance (Ogul et al., 2026);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;;;;;;;;;;;Refers to beliefs and thoughts about body shape and appearance, the mental representation of the body, and self-evaluative cognitions related to personal worth and self-esteem. (Cash & Green, 1986);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Appearance related expectancies;;;;;;;;;;Defined as individuals’ beliefs and expectations about how their physical appearance influences social outcomes, self-worth, and life opportunities, reflecting the cognitive dimension of body image and self-esteem (Cash, 2004).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Appearance related expectancies;Thinness/restricting expectancies;;;;;;;;;"""Expectations that being thin or restricting food intake
will lead to reinforcement, such as. . .becoming more
attractive"" (Penniment et al., 2012)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Appearance related expectancies;Perceived benefits of gaining muscle mass;;;;;;;;;Defined as the belief that increasing muscle mass would enhance one’s self-confidence, reflecting a cognitive aspect of body image and self-esteem (Chaba et al., 2019);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body as a tool;;;;;;;;;;Defined as the perceived compulsion to continue training even when physically injured, reflecting a maladaptive belief or behavior related to exercise and body image (Lantz et al., 2004).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body comparison and ideal perception;;;;;;;;;;"Refers to the processes through which individuals evaluate their own body and appearance by comparing themselves with others and by referencing culturally defined ideals of body size and attractiveness that symbolize beauty or success. (Laker & Waller, 2019; Martin, 2010).";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body comparison and ideal perception;Current body weight-ideal body weight;;;;;;;;;Refers to the indirect perception of the athletes body weight by the difference in their current body weight, and the body weight declared to be ideal by the athletes (De Oliveira et al., 2017);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body comparison and ideal perception;Ideal physique perception;;Male ideal physique perception;;;;;;;"""Refers to the degree to which subjects believed their male physique was ideally or ought to be muscular"" (Thomas et al., 2014)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body comparison and ideal perception;Body image ideals;;;;;;;;;"""Personal standards of optimal appearance for various body features: idealized features as opposed to actual attributes of appearance"" (American Psychological Association dictionary)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;;;;;;;;;;It is the adoption of societal and sport-related body ideals as internal standards, formed through exposure to family, peers, media, and sport-specific expectations, influencing self-evaluation and behavior. (Petrie & Greenleaf, 2007, 2012);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Athletic ideal internalization;;;;;;;;;"""Refers to the integration of body norms associated with athletic or sporty figures"" (Rousseau et al., 2010)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Internalization of thin/low body fat;;;;;;;;;"""Assesses an individual's personal desire for a thin physique and degree of cognitive energy spent thinking about achieving this physique"" (Schaefer et al., 2020)";;
